date,time,epicenter,緯度,経度,depth,magnitude,maxshindo,lat,lng
2001/1/21,3:59:53,兵庫県北部,35°28.3′N,134°28.8′E,10 km,2.8,震度１,35.47166667,134.48
2001/1/21,4:09:19,兵庫県北部,35°28.2′N,134°31.1′E,10 km,3,震度１,35.47,134.5183333
2001/1/21,4:27:30,鳥取県西部,35°13.8′N,133°23.3′E,10 km,2.4,震度１,35.23,133.3883333
2001/1/21,8:27:33,兵庫県北部,35°29.2′N,134°28.1′E,7 km,2.8,震度１,35.48666667,134.4683333
2001/1/21,10:33:37,兵庫県北部,35°27.7′N,134°31.2′E,10 km,2.9,震度１,35.46166667,134.52
2001/1/21,10:50:15,兵庫県北部,35°29.5′N,134°29.2′E,10 km,2.4,震度１,35.49166667,134.4866667
2001/1/21,11:51:29,兵庫県北部,35°28.4′N,134°28.6′E,10 km,2.7,震度１,35.47333333,134.4766667
2001/1/21,13:25:03,島根県東部,35°25.7′N,133°17.9′E,12 km,2.3,震度１,35.42833333,133.2983333
2001/1/21,19:07:04,父島近海,27°23.5′N,141°49.5′E,70 km,3.8,震度１,27.39166667,141.825
2001/1/21,21:56:05,鳥取県西部,35°12.7′N,133°24.7′E,10 km,2.7,震度１,35.21166667,133.4116667
2001/1/22,5:21:26,駿河湾,34°41.9′N,138°36.3′E,18 km,3.1,震度１,34.69833333,138.605
2001/1/22,5:40:08,兵庫県北部,35°28.0′N,134°30.6′E,11 km,2.7,震度１,35.46666667,134.51
2001/1/22,9:43:27,石川県能登地方,37°11.8′N,136°47.5′E,18 km,3.7,震度２,37.19666667,136.7916667
2001/1/22,10:06:11,鳥取県西部,35°11.6′N,133°25.5′E,9 km,2.2,震度１,35.19333333,133.425
2001/1/22,10:39:21,兵庫県北部,35°29.8′N,134°29.0′E,10 km,3.1,震度２,35.49666667,134.4833333
2001/1/22,10:40:16,兵庫県北部,35°29.6′N,134°29.0′E,9 km,2.7,震度１,35.49333333,134.4833333
2001/1/22,10:43:54,兵庫県北部,35°29.3′N,134°29.3′E,9 km,2.2,震度１,35.48833333,134.4883333
